IID	AGE	SEX	PC01	PC02	PC03	PC04	PC05
ID_066	-0.773626931323437	1	0.0109927	-0.00783646	-0.00181787	-0.00722906	-0.000769522
ID_067	2.33266002256711	0	0.0105646	-0.00678046	-0.000596118	-0.00675535	0.000267334
ID_068	-0.979465223448714	1	0.0107758	-0.00752487	-0.000695399	-0.00652127	-0.000917192
ID_069	-0.680064071266493	0	-0.0209758	-0.00355053	-0.00202589	0.00802507	-0.00124327
ID_070	0.105863953211839	1	-0.0099936	0.00475535	0.0161757	-0.0106097	0.00368733
ID_071	1.97712115435072	1	0.00775546	0.0513269	-0.0284449	-0.0162727	0.00075116
ID_072	-0.698776643277881	1	0.00850421	-0.00086508	0.0134513	0.0748507	0.00218477
ID_073	-0.848477219368992	1	0.010795	-0.0071512	-0.00100689	-0.0062228	-0.0007534
ID_074	-0.848477219368992	1	-0.0067615	-0.00433806	0.00176611	-0.00831948	-0.00349295
ID_075	-0.249674915004549	0	0.0104917	-0.00571122	0.000385472	-0.0063446	-0.000488413
ID_076	0.573678253496559	1	0.00630583	0.0838392	-0.0416361	-0.0148024	-0.000439769
ID_077	-0.88590236339177	1	0.0103281	-0.00636252	-1.86392e-05	-0.00312813	0.00166294
ID_078	-0.736201787300659	1	-0.00898734	-0.00556631	0.000130193	-0.00741118	-0.000297754
ID_079	0.143289097234616	0	0.0105639	-0.00725807	-0.00144334	-0.00211332	0.00178098
ID_080	0.0310136651662832	0	-0.0265188	-0.00303124	-0.000700706	-0.00271751	-0.00714108
ID_081	0.218139385280172	1	0.0108127	-0.00617118	-0.000793459	-0.00786496	-0.00127881
ID_082	-0.979465223448714	1	0.0108458	-0.00730884	-0.00131295	-0.0108998	0.000621754
ID_083	0.124576525223227	0	0.0103655	-0.00683586	-0.00102922	-0.00665272	-0.000554522
ID_084	1.24733084590656	0	0.0102923	-0.00674247	0.000274355	-0.00609935	0.000518606
ID_085	-0.754914359312048	1	-0.0299644	-0.00327668	0.000818811	-0.00519719	-0.00118573
ID_086	-0.268387487015938	0	0.00505016	0.0196087	0.0555958	0.0393278	0.0045269
ID_087	-0.960752651437325	1	0.0107251	-0.00640812	-0.000176641	-0.00490309	0.000500967
ID_088	0.611103397519337	0	-0.0144998	-0.00170554	-0.00202286	0.00509478	-0.0101015
ID_089	-0.848477219368992	0	-0.00180704	0.0104413	-0.0080974	0.0141693	4.26947e-05
ID_090	-1.01689036747149	0	0.0109036	-0.00675704	-0.000305074	-0.00759988	0.000951454
ID_091	0.311702245337116	0	0.0104203	-0.0069507	-0.000758386	-0.00724885	0.00162617
ID_092	0.06843880918906	0	0.0106284	-0.00763685	-0.00318688	-0.00822216	0.000747077
ID_093	0.199426813268783	1	0.0106862	-0.00664849	0.000516873	-0.00786212	0.000920021
ID_094	-1.01689036747149	0	0.0107928	-0.00753198	-0.000947087	-0.00837132	0.000518349
ID_095	0.105863953211839	0	0.0107055	-0.00718929	-0.00094598	-0.00719378	-0.000221286
ID_096	-0.811052075346214	0	0.00770458	-0.00185525	-0.00463659	-0.00311826	-0.00141125
ID_097	-0.792339503334826	0	0.010667	-0.00702049	2.82194e-05	-0.00299377	-0.000600683
ID_098	-0.324525203050105	1	0.0104285	-0.00675377	0.000119167	-0.00846889	0.00123361
ID_099	0.124576525223227	1	-0.0261408	-0.00464758	-0.000743584	-0.00212219	0.00553358
ID_100	0.068438809189061	0	-0.0261721	-0.00283167	-0.000612492	-0.00234492	-0.00523788
