IID	AGE	SEX	PC01	PC02	PC03	PC04	PC05
ID_065	-0.848477219368992	0	0.0106221	-0.00643704	-0.000990091	-0.00217245	7.39663e-05
ID_066	-0.829764647357603	0	0.00240901	0.0646945	-0.0369315	-0.00393207	0.00207148
ID_067	-0.792339503334826	1	0.0105412	-0.00603435	-5.51748e-05	-0.00873545	0.00136198
ID_068	0.049726237177672	0	0.00931235	0.00546945	0.0209688	-0.00614945	-0.000434948
ID_069	0.72337882958767	1	0.010332	-0.00241207	-0.00189646	-0.0100091	-0.000713101
ID_070	1.80870800624822	0	-0.0276585	-0.0010167	9.15448e-05	-0.00361134	0.00232701
ID_071	2.78176175084044	0	-0.0235574	-0.00225386	0.00138455	-0.00451946	-0.0007718
ID_072	0.23685195729156	1	0.0108597	-0.00642936	0.000465284	-0.00369701	-0.0003236
ID_073	-0.549076067186771	1	-0.0101127	-0.00514149	-0.00072099	-0.00677255	0.00406796
ID_074	-0.549076067186771	1	0.00985161	-0.00528114	0.00294116	0.02611	0.000427237
ID_075	-0.960752651437325	0	-0.00288964	0.00799504	-0.00754185	-0.00116174	-6.51319e-05
ID_076	-0.811052075346214	0	0.010322	-0.00623728	-8.94008e-05	-0.00500949	0.00162957
ID_077	-0.680064071266493	0	0.0108692	-0.00767145	-0.00189731	-0.0085268	-0.000307359
ID_078	-0.811052075346214	1	0.0105935	-0.00716108	-0.000960091	-0.0093853	0.00116031
ID_079	1.3408937059635	1	0.010678	-0.00665563	-1.05446e-05	-0.00836124	-4.50152e-05
ID_080	-0.792339503334826	1	0.0106894	-0.00736647	0.000208722	-0.00901374	-0.000507498
ID_081	1.58415714211156	1	0.010641	-0.00656248	-0.00155583	-0.00848901	-0.000365649
ID_082	1.22861827389517	1	0.010605	-0.00690228	-0.00212863	-0.00702884	0.00108954
ID_083	-1.03560293948288	1	-0.0288345	-0.00250779	-0.000180445	-0.00845782	-0.00238366
ID_084	-0.848477219368992	1	0.0107932	-0.00684279	-0.00111317	-0.00492574	0.000604068
ID_085	-0.792339503334826	1	0.0104538	-0.0071925	0.000120068	-0.00931938	0.00135642
ID_086	0.162001669246005	0	0.0104797	-0.00747999	-0.000177031	-0.00927635	0.000971908
ID_087	-0.343237775061493	1	0.00329691	-0.00281648	0.00871232	0.107384	0.00389748
ID_088	-0.680064071266493	0	0.00883172	0.000856363	0.0161295	0.0139851	0.00124815
ID_089	0.536253109473782	0	-0.0270438	-0.00311778	1.659e-05	-0.00380042	-0.00721704
